lfn_sentence,eng_sentence
Alga de mundo ta pote pensa tal.,Some people might think so.
Alga de mundo ta pote suposa lo.,Some people might assume that.
Alga de mundo pasea a la labora.,Some people walk to work.
Esce tu ave vera un xico de cor?,Do you really have a boyfriend?
Cada minuto con tu es un donada.,Every minute with you is a gift.
Me pensa ce nos debe usa mascas.,I think we should wear masks.
El vide continual la Olimpiales.,He's watching the Olympics.
Tom ia mostra alga cosa a Maria.,Tom showed Mary something.
Ta ce nos fa un paso a cada ves.,Let's take it one step at a time.
Esce vive es esistente en Marte?,Is there any life on Mars?
"Si tu vole, me va fa la demanda.","If you wish, I'll ask."
Me can es mancante tra tre dias.,My dog has been missing for three days.
Tom cuasi nunca come concombres.,Tom hardly ever eats cucumbers.
La labora solitar no es diverti.,Working alone is no fun.
En la vive on ave altas e basas.,In life there are ups and downs.
Jonguo ia developa multe rapida.,China developed very quickly.
Esce la sposia ge debe es legal?,Should gay marriage be legal?
"Tom es o ge o bisesal, me pensa.","Tom is either gay or bisexual, I think."
Perce tota la xicos dulse es ge?,How come all the cute guys are gay?
Contra se mesma la judor ia rie.,The judge laughed in spite of himself.
Jira la boton contra la orolojo.,Turn the knob counterclockwise.
Me ia espera ce nos ia ta amini.,I had hoped we might become friends.
Esce algun pote abri un fenetra?,Can someone open a window?
Cuando me pote abri mea donadas?,When can I open my gifts?
A fini la esperimenta ia susede.,Eventually the experiment succeeded.
Ultima la polisia ia aresta Tom.,The police eventually arrested Tom.
Los ia comensa a oras ante aora.,They started hours ago.
On ave 187 888 lagos en Finland.,"There are 187,888 lakes in Finland."
"Samba es un ritmo brasilera, si?","Samba is a Brazilian rhythm, isn't it?"
Tom ia mori en asidente de tren.,Tom died in a train accident.
Me oia sona de pasos estra casa.,I hear footsteps outside.
La tempesta va dana la recolies.,The storm will damage the crops.
La notas ia es relasada a lundi.,The minutes were released Monday.
Me no ia vide la semafor cambia.,I didn't see the light change.
On ia ave luna plen a acel note.,There was a full moon that night.
Tom ave brasos multe capeletosa.,Tom has really hairy arms.
Lo de me es plu bon ca lo de tu.,Mine is better than yours.
La nomes es en ordina alfabetal.,The names are in alphabetical order.
Me vole sabe esce Tom jua tenis.,I wonder if Tom plays tennis.
La tsar ia es la renor de Rusia.,The tsar was the ruler of Russia.
El sabe no cosa sur sua familia.,He doesn't know anything about his family.
Tota de la nosa atentas ia fali.,All our attempts failed.
Me ia pote apena crede mea oios.,I could hardly believe my eyes.
Maria labora en un supramercato.,Mary works in a supermarket.
Blasfema es un crimin sin vitim.,Blasphemy is a victimless crime.
Esta matina me ia vide un anjel.,"This morning, I saw an angel."
Cuanto dies on ave en la semana?,How many days are there in a week?
La consiensa fa tal nos coardes.,Thus conscience does make cowards of us all.
La imperor no porta alga vestes.,The emperor doesn't have any clothes on.
Perce tu no clui la fodeda boca?,Why don't you shut the fuck up?
El es un xico multe intelijente.,He is a very smart boy.
La autocrata ia opresa la popla.,The dictator oppressed the people.
No person ia sabe do el ia vade.,Nobody knew where he went.
Tom ia es un enfante no atletal.,Tom was an unathletic child.
"Tom ia sabe, ce me es enebriada.",Tom knew that I was drunk.
Mea enfantes no pote parla ivri.,My children can't speak Hebrew.
Un monton de persones ia atenta.,Lots of people have tried.
Me no va vacanse en esta estate.,I won't be going on vacation this summer.
La barcones ia es fada de lenio.,The ships were made from wood.
La mea sore es multe intelijente.,My sister is very intelligent.
Cual dia de la semana es martedi?,What day of the week is Tuesday?
"La vive no es longa, lo es larga!","Life is not long, it is wide!"
Esta frase conteni sinco parolas.,This sentence has five words.
Esperanto es un lingua a la moda!,Esperanto is a cool language!
On ave insetos usosa en la mundo.,There are useful insects in the world.
Tra cuanto tempo un papilio vive?,How long does a butterfly live?
El ia vide acaso un papilio rara.,He happened to catch sight of a rare butterfly.
La pexes abunda en la mar grande.,Fish abounds in the ocean.
Tom ia mori par inonda en la mar.,Tom drowned in the ocean.
La mar ia es blanca par la spuma.,The sea was white with foam.
Me pensa ce Tom vera merita esta.,I think Tom really deserves it.
Me ia promete ce me dise no cosa.,I promised not to tell.
Alga de mundo desira sola plaser.,Some people pursue only pleasure.
Alga de mundo nunca va comprende.,Some people will never understand.
Alga de mundo es multe noncortes.,Some people are very rude.
Alga cosas variosa nesesa cambia.,Several things need to change.
La demanda ia es autorespondente.,The question was rhetorical.
El ave un fia ci es clamada Mary.,She has a daughter whose name is Mary.
Curante Tom ia desapone se masca.,Tom carefully took off his mask.
Tom ia apone un masca contra gas.,Tom put on a gas mask.
Nun va reconose el en esta masca.,No one will recognize her in this mask.
Me clama la servor de restorante.,I call the waiter.
"Per favore, cansela nosa comanda.",Please cancel our order.
Esce esta parola es in usa comun?,Is this word in common use?
Nos ave alga cosa plu compartida.,We have something else in common.
Razisme es comun en multe sosias.,Racism is common in many societies.
Tu e me ave alga cosa compartida.,You and I have something in common.
Esce tu va vide la juas olimpial?,Will you watch the Olympics?
El ia partisipa la juas olimpial.,He took part in the Olympic Games.
Los vole partisipa la Olimpiales.,They want to take part in the Olympic Games.
Esta planta ia crese pico e pico.,This plant grew little by little.
Alga xicas ia continua jua tenis.,Some girls were playing tennis.
La vive es plen de altas e basas.,Life is full of ups and downs.
Contra se mesma el ia trema pico.,He shivered a little in spite of himself.
Contra sua nonperfetas me ama el.,I love him despite his faults.
La fortuna es cruel a alga veses.,Destiny is sometimes cruel.
Ultima tota la pasientes ia mori.,All the patients eventually died.
El ia es como un madre du per me.,She was like a second mother to me.
Esta cosas es no plu ca astratas.,These things are mere abstractions.
Lo es no plu ca un perla imitada.,It is merely an imitation pearl.
Lo ia aveni a tre dias ante aora.,It was three days ago.
El ia mori a tre anios ante aora.,He died three years ago.
La rota jigante es mea prefereda.,The Ferris wheel is my favorite.
La labios de el ia tanje la meas.,His lips brushed against mine.
El ia brosi la xapo de sua sposo.,She brushed her husband's hat.
Esta restorante es sempre folida.,This restaurant is always crowded.
Nos espera ce vos alia vos a nos.,We hope you'll join us.
Ambos de nos ia es multe ocupada.,We were both very busy.
Tom ia demanda a me esce me fami.,Tom asked me whether I was hungry.
Tota de mundo ia comensa disputa.,Everyone started arguing.
Me va come un ovo de sento anios.,I will eat century egg.
Metal contrae cuando lo es frida.,Metal contracts when cooled.
"Cuando tu coleri, conta asta des.","When angry, count to ten."
Me gusta la musica de strumentos.,I like instrumental music.
La musica de strumentos plase me.,I like instrumental music.
"""Me vole vade a casa."" ""Me ance.""","""I want to go home."" ""So do I."""
Tom gusta multe avenis de sporte.,Tom loves sports events.
Perce tu vole es presentada a el?,Why do you want to be introduced to him?
El ia plora sin sesa tra la note.,She kept crying all night.
Me vade a la plaia a multe veses.,I often go to the beach.
Me xerca Tom. Esce tu ia vide el?,I'm looking for Tom. Have you seen him?
Me es la madre de un fio de puta.,I'm the mother of a son of a bitch.
No person ia informa me sur acel.,No one told me about that.
Me no sabe cuando el va veni asi.,I don't know when he'll come here.
La interede es un conserna seria.,The Internet is serious business.
Esce vos vole comparti un orania?,Do you all want to share an orange?
Tom es a fini de reveni a Boston.,Tom has just come back to Boston.
Me pensa ce lo es cisa un defeto.,I think it might be a bug.
La arco de sielo ave sete colores.,The rainbow has seven colors.
Me ia vide nunca un arco de sielo.,I've never seen a rainbow.
Mea fia ave apena des-sinco anios.,My daughter is barely fifteen.
Me ia vide el en la media de core.,I saw him running.
Tu pote nomi la dias de la semana?,Can you name the days of the week?
La dia sete de la semana es soldi.,The seventh day of the week is Sunday.
Me ave ja papilios en mea stomaco.,I already have butterflies in my stomach.
Nos esperia la lampo ante la tona.,We perceive lightning before thunder.
Aprende alga cosa nova a cada dia.,Learn something new every day.
Me no ave multe anios plu de vive.,I don't have that many years left.
Cual es tu favoreda site european?,What's your favorite European city?
Natal cade a un soldi a esta anio.,Christmas falls on Sunday this year.
Alga de mundo ia senti se trapida.,Some people felt trapped.
Alga de mundo en fato colie rocas.,Some people actually collect rocks.
Alga de mundo es vera intelijente.,Some people are really intelligent.
Alga de mundo es alerjica a trigo.,Some people are allergic to wheat.
Alga de mundo gusta viaja solitar.,Some people like to travel alone.
Lo es difisil plase alga de mundo.,Some people are difficult to please.
Tota la labora per revive ia fali.,All the resuscitation efforts have failed.
Me pensa ce nos debe porta mascas.,I think we should wear masks.
Nos ia compra alga bales de tenis.,We bought some tennis balls.
Me va turna en cuando tu vesti tu.,I'll turn around while you dress.
La sposia ge es legal a esta loca.,Gay marriage is legal here.
"Me no es ge, ma me xico de cor es.","I am not gay, but my boyfriend is."
Veni a casa direta cuando tu pote.,Come home as soon as you can.
Lo es no plu ca un gota en la mar.,It's a mere drop in the ocean.
Taro ia mori a du anios ante aora.,Taro died two years ago.
La brasilera es ganiante la corsa.,The Brazilian is winning the race.
La om peteni sua can con un brosa.,The man combs his dog with a brush.
On no ia ave arbores sur la isola.,There were no trees on the island.
La ditos de pede de Tom es dolosa.,Tom has sore toes.
Me demanda a me esce tu comprende.,I wonder whether you understand.
Me es en la media de prepara cafe.,I'm making coffee.
Tom no ia persepi an ce me es ala.,Tom didn't even notice I was there.
Tom ia dise a Maria ce el es fame.,Tom told Mary he was hungry.
Me pensa ce me ia rompe mea braso.,I think I've broken my arm.
Me es en la media de bevi la cafe.,I'm drinking the coffee.
Esce la nom de Tom es en la lista?,Is Tom's name on the list?
La site ia es completa abandonada.,The city was completely deserted.
"Me es un vegan, ma mea gato no es.","I'm a vegan, but my cat isn't."
Me pote come vitro; lo no dole me.,I can eat glass; it does not hurt me.
Tom es preparada per dise la vera.,Tom is prepared to tell the truth.
Me trova un consola en sua parolas.,I take solace in his words.
La fia la plu vea de el es sposida.,Her elder daughter is married.
Me ia jubila a tre anios ante aora.,I retired three years ago.
Soldi es la dia prima de la semana?,Is Sunday the first day of the week?
Soldi es la dia prima de la semana.,Sunday is the first day of the week.
Cual es tua dia de semana favoreda?,What's your favorite day of the week?
Felisia es plu importante ca ricia.,Happiness is more important than wealth.
Oji es la aniversario de mea sposi.,Today is my wedding anniversary.
Nos va fa la plu bon cual nos pote.,We're going to do our best.
La asendador ia para a la nivel du.,The elevator stopped on the second floor.
"Per favore, dona a me un portasene.",Please give me an ashtray.
On ave multe cosas bon en la mundo.,There are many good things in the world.
Me ia catura un papilio multe bela.,I caught a very beautiful butterfly.
El ia oserva como la papilios vola.,She observed how butterflies fly.
Acel papilios es rara en nosa pais.,These butterflies are rare in our country.
La om ia mori par inonda en la mar.,He drowned in the ocean.
La piratas ia naviga la sete mares.,The pirates sailed the seven seas.
Me pensa ce ambos de vos es erante.,I think you're both wrong.
Tu no ta debe es en la labora aora?,Aren't you supposed to be at work right now?
Cual es tu prefereda site european?,What's your favorite European city?
London ia es bombida a multe veses.,London was bombed several times.
Alga de mundo va crede cualce cosa.,Some people will believe anything.
Alga de mundo es bastante panicada.,Some people are pretty scared.
El ave la reputa de es multe cruel.,He's got a reputation for being really ruthless.
Acel om ia porta un masca de tigre.,That man was wearing a tiger mask.
Nos ave asoluta no cosa compartida.,We have absolutely nothing in common.
Tom e Maria ave no cosa compartida.,Tom has nothing in common with Mary.
On debe fa la plu bon cual on pote.,One must do one's best.
El vide continual la juas olimpial.,He's watching the Olympics.
La du barcones ia vade direta a su.,The two ships went down at once.
"No move! Si tu fa un paso, tu mori!",Don't move! You take a step and you die!
La madre e sore de el ia es malada.,His mother and sister were sick.
La pasiente ia recovre pico e pico.,The patient got better little by little.
Tom es un tenisor plu bon ca Maria.,Tom can play tennis better than Mary.
Contra sua nonperfetas me amira el.,"I admire him, in spite of his faults."
Lo va es plu bon a la ves seguente.,It'll be better next time.
Promete es fasil. Reali es difisil.,It is easy to say and hard to accomplish.
Tom ia sorti a alga oras ante aora.,Tom left hours ago.
La plu vitimas ia es enfantes peti.,Most of the victims were small children.
Con ci tu ia es en la rota jigante?,Who were you with on the Ferris wheel?
La economia brasilera crese rapida.,The Brazilian economy is growing by leaps and bounds.
Esatia es importante en aritmetica.,Accuracy is important in arithmetic.
On debe brosi la dentes a cada dia.,One should brush one's teeth every day.
Esta libro es dedicada a no person.,This book is not dedicated to anyone.
La parte la plu difisil ia fini ja.,The hardest part is already over.
On ia porta rapida el a la ospital.,He was rushed to the hospital.
Esta libro no es multe interesante.,This book isn't very interesting.
Me ia aprende multe rapida franses.,I learned French very quickly.
Nos ia oteni lo cual nos ia merita.,We got what we deserved.
Nos pensa ce nos sabe do Tom ia es.,We think we know where Tom has been.
Cuando la vijila de tota santas es?,When is Halloween?
La musica ia encanta tota de mundo.,The music lured everyone.
Perce tu usa sempre camisas blanca?,Why do you always wear white shirts?
La veria es ce me no ia vade a ala.,"To tell the truth, I didn't go there."
Sua padre e madre ia es cultivores.,His parents were farmers.
Me es en la media de clui la porte.,I'm closing the door.
Los es en la media de jua a futbal.,They're playing football.
Engles es plen de parolas romanica.,English is full of Romance words.
Roma no ia es construida en un dia.,Rome wasn't built in a day.
On ave tre enfantes en mea familia.,There are three children in my family.
Tota cosas parteni a tota de mundo.,All belongs to all.
Tom e Meri no vole fa juntada acel.,Tom and Mary don't want to do that together.
"Me es asi, me es cuer, abitua a lo.","I'm here, I'm queer, get used to it."
Tom ia comensa solisita un pardona.,Tom began to apologize.
Acel fio de puta ia ruina sua vive.,That son of a bitch ruined her life.
La xico gusta pasea longo la strada.,The boy likes walking along the street.
La fia de el ave un dole de stomaco.,Her daughter has a stomachache.
Tom ia dise ce Maria es un bon mama.,Tom said Mary is a good mom.
La dia sete de la semana es saturdi.,The seventh day of the week is Saturday.
Soldi es la dia ultima de la semana.,Sunday is the last day of the week.
Cual es tua dia de semana prefereda?,What's your favorite day of the week?
El es a la borda de un crise mental.,She is on the verge of a nervous breakdown.
Me ia fa la plu bon cual me ia pote.,I did my best.
Me ia vide cuando Tom ia besa Maria.,I saw Tom kiss Mary.
La fem ia mori par inonda en la mar.,She drowned in the ocean.
Er e England es separada par la mar.,Ireland and England are separated by the sea.
Cuanto tu ia paia per esta completa?,How much did you pay for that suit?
El no vole ce alga otra person sabe.,She doesn't want anyone else to know.
La ponte ave sento metres de longia.,The bridge has a span of 100 meters.
Nos ave multe espertia en esta area.,We have a lot of expertise in this area.
Lo ia es un demanda autorespondente.,It was a rhetorical question.
Lo no es un demanda autorespondente.,It's not a rhetorical question.
La furores de banco ia porta mascas.,The bank robbers were wearing masks.
Tom ia desapone se masca contra gas.,Tom took off his gas mask.
Un pex oro grande nada en la lageta.,A large goldfish swims in the pond.
Los vole partisipa la juas olimpial.,They want to take part in the Olympic Games.
"Acel cual la omes no vide, dio vide.","What men don't see, God sees."
Me espera ce Tom va persepi no cosa.,"Hopefully, Tom won't notice anything."
Me debe cambia la teleta de la bebe.,I need to change the baby's diaper.
Me ia jua un max de tenis contra el.,I had a tennis match with him.
Contra tota difisilias el ia susede.,He succeeded in spite of all difficulties.
"Pardona me, do es la saleta privada?","Excuse me, where's the toilet?"
Nos va vade direta cuando Jon ariva.,Let's go as soon as John comes.
Acel es tota cual me pote ofre a tu.,That's all I can offer you.
A fini la problem mesma va solve se.,The problem will resolve itself eventually.
Telefonetas es aora sempre presente.,Cellphones are now ubiquitous.
Cuales es alga bon filmas brasilera?,What are some good Brazilian movies?
Jane ia limpi la larmas de sua oios.,Jane brushed the tears from her eyes.
Esta brosa es fada de pelo de camel.,This brush is made from camel hair.
Esce tu memora como tota ia comensa?,Do you remember how it all began?
Esce tu va parla con me en portuges?,Will you speak Portuguese with me?
Nos no ia vide Tom tra alga semanas.,We haven't seen Tom for weeks.
La primador en me ofisia es rompeda.,The printer in my office is broken.
"""Me ave un ami de cor."" ""De cuando?""","""I have a boyfriend."" ""Since when?"""
Esta roba ajusta a tu como un ganto.,This dress fits you like a glove.
Tom ia compra un donada per sua fia.,Tom bought a gift for his daughter.
Tom ia sposi Maria a 20 otobre 2013.,"Tom married Mary on October 20, 2013."
El no distingui coreta de noncoreta.,He can't tell right from wrong.
A cual eda enfantes gradua de scola?,At what age do children leave school?
Tom e Maria ia jua a tenis de table.,Tom and Mary played ping pong.
La om vea sabe ce el va mori pronto.,The old man knows that he will die soon.
Cadun ave la direto a un nasionalia.,Everyone has the right to a nationality.
La tempesta ia destrui tota la vila.,The storm destroyed the whole town.
Esce on ave un supramercato prosima?,Is there a supermarket nearby?
La neva refleta la lus ultravioleta.,Snow reflects ultraviolet light.
Tom labora per un compania canadian.,Tom works for a Canadian company.
Me ave sindrom de angusa pos trauma.,I have post-traumatic stress disorder.
Tatoeba es un esemplo de aida mutua.,Tatoeba is an example of mutual aid.
Mea sangue no es plu roja ca la tua.,My blood is no redder than yours.
Basi la polisia! Basi la autocratia!,Down with the police! Down with autocracy!
Cual es tua enemi suacuan prefereda?,What's your favorite underwater enemy?
Arco de sielo es un fenomeno natural.,A rainbow is a natural phenomenon.
On espera ce no va pluve a esta sera.,"Hopefully, it won't rain this evening."
Me es brasilera e me aprende japanes.,I'm Brazilian and I'm learning Japanese.
Pone la portasene do me pote vide lo.,Put the ashtray within eyes reach.
La strada es tro streta per camiones.,The street is too narrow for trucks.
Tom ia deside ce el va vade a Boston.,Tom has decided to go to Boston.
En estate la persones prefere la mar.,"In summer, people prefer the sea."
Me pensa ce nos debe a Tom un escusa.,I think we owe Tom an apology.
Nos ia vade sur la via la plu rapida.,We took the quickest route.
Oji me senti ce me es plu bon ca ier.,I feel better today than yesterday.
El ia mostra a me sua colie de selos.,He showed me his stamp collection.
"Per alga de mundo ""dio"" es los mesma.","For some people, ""God"" is themselves."
Alga de mundo no posese computadores.,Some people don't own computers.
Los ia coleri sur alga cosas variosa.,They were angry about several things.
"A un ves pasada, un re cruel ia vive.","Once upon a time, there lived a cruel king."
La xico peti es regalada par sua ava.,The little boy is being spoiled by his grandmother.
A veses la enfantes no ave pasientia.,Children sometimes lack patience.
Me no ia crede ce lo va es tan fasil.,I didn't think it would be that easy.
Esta es tota cual me pote ofre a vos.,That's all I can offer you.
La violentia ia aumenta pronto a pos.,Violence increased soon afterward.
Los ia move casa a un anio ante aora.,They moved a year ago.
El ia acorda con sua testa corajinte.,He nodded encouragingly.
No tota la brasileras gusta carnaval.,Not all Brazilians enjoy Carnival.
Carnaval no plase tota la brasileras.,Not all Brazilians enjoy Carnival.
El es propensada a atacas de coleria.,He is subject to fits of anger.
Esce tu recorda como tota ia comensa?,Do you remember how it all began?
Los ia esamina esce la sala es vacua.,They checked whether the room was empty.
"""Me ave un xico de cor."" ""De cuando?""","""I have a boyfriend."" ""Since when?"""
Me va resta asi asta cuando el ariva.,I'll stay here until he arrives.
Me demanda a me esce Tom jua a tenis.,I wonder if Tom plays tennis.
Aora tu ave cada cosa cual tu nesesa.,You have everything you need now.
La era es umana; la pardona es divin.,"To err is human, to forgive divine."
Do es la supramercato la plu prosima?,Where is the nearest supermarket?
Lo es multe fasil ce on aprende nade.,It's very easy to learn how to swim.
La aprende de la nade es multe fasil.,It's very easy to learn how to swim.
El ia prende alga cosa de en la saco.,She took something out of the bag.
Me sujesta ce tu clui la fodeda boca.,I suggest you shut the fuck up.
Tom crede ce Meri atenta desonora el.,Tom believes Mary is trying to discredit him.
Ester es un survivor de la Olocausto.,Esther is a Holocaust survivor.
"Fortunosa, Tom no ia rompe alga cosa.","Luckily, Tom didn't break anything."
Me ne pensa ce Tom ia supradosa vera.,I don't think Tom really overdosed.
Saturdi es la dia ultima de la semana.,Saturday is the last day of the week.
"Tu pote nomi la dias de la semana, si?",Can you name the days of the week?
Dise la nomes de la dias de la semana.,Say the names of the days of the week.
Me vole esamina la corpo de la vitima.,I want to examine the body of the victim.
Aprende un lingua stranjer es difisil.,It's hard to learn a foreign language.
"Surprendente, el es un xico multe bon.",Surprisingly he is a very good boy.
Tom ia pone la portasene a ante Maria.,Tom put the ashtray in front of Mary.
Lo es cosa perilosa nada con delfines.,It is dangerous to swim with dolphins.
El parla con un pronunsia forte deutx.,She talks with a heavy German accent.
Esce algun pote dise a me cual ora es?,Can anyone tell me the time?
Alga de mundo demanda difisil pardona.,Some people have difficulty apologizing.
Alga de mundo ia comensa lansa petras.,Some people started throwing rocks.
Alga de mundo ia salta a en la pisina.,Some people jumped into the pool.
Tom ia regarda en la dirije noncoreta.,Tom looked in the wrong direction.
La polisior porta un masca contra gas.,The policeman is wearing a gas mask.
Esce la lus es un onda o un particula?,Is light a wave or a particle?
Contra sua laboras intensa el ia fali.,He failed in spite of his great efforts.
Verje a sinistra direta pos la angulo.,Turn to the left immediately after the corner.
La roceto ia es lansada a esta matina.,The rocket was launched this morning.
Esce tu ia fa nunca la ama con un fem?,You've never slept with a woman?
Lo es un onora alta comensa conose el.,It is a great honor to become acquainted with her.
A fini los ia sposi la un con la otra.,He eventually married her.
Tom ia senta sur la borda de troteria.,Tom sat on the curb.
Cuanto pomos es en tu bosce de frutas?,How many apple trees are in your orchard?
El ia pasea con pedes nuda sur brasas.,She walked barefoot over the hot embers.
La musica brasilera es simple majiosa.,Brazilian music is simply magical.
Cual es tua broma de parolas favoreda?,What's your favorite pun?
Nun es capas core tan rapida como Tom.,No one is able to run as fast as Tom.
El es en la media de scrive un letera.,He is writing a letter.
Tom es en la media de abri la fenetra.,Tom is opening the window.
On ave multe roja flores en la jardin.,There are many red flowers in the garden.
Me pensa ce Meri es pico tro otimiste.,I think Mary is a little too optimistic.
La gatos es persones multe importante.,Cats are very important people.
El ia es mordeda par un animal savaje.,She was bitten by a wild animal.
El ia ave un libro blanca su la braso.,She had a white book under her arm.
Mone es un bon servor ma un mal senior.,Money is a good servant but a bad master.
"Soldi es la dia prima de la semana, no?",Is Sunday the first day of the week?
Esce tu pote nomi la dias de la semana?,Can you name the days of the week?
La ventas cual veni de la mar es umida.,Winds from the sea are moist.
Alga de mundo ia duta la onestia de el.,Some people questioned his honesty.
Esce me pote usa masca en esta selebra?,Can I wear a mask at this party?
Me declara la abri de la juas olimpial.,I hereby declare the opening of the Olympic Games.
El ia dise ce el no vole es presidente.,He said he did not want to be president.
Esce tu ia cambia ja un teleta de bebe?,Have you ever changed a diaper before?
Esta ia es la dia la plu mal de sempre.,This was the worst day ever.
Contra la ostaculos nos ia vade a ante.,We pushed ahead despite the obstacles.
Un laboror felis es un laboror plu bon.,A happy worker is a better worker.
Tom ia vole deveni un sitizan canadian.,Tom wanted to become a Canadian citizen.
A fini tal secretas es sempre revelada.,Such secrets are always eventually revealed.
"Nos no es dios, ma no cosa plu ca omes.","We're not gods, but mere men."
Tom ia sorti a sinco minutos ante aora.,Tom left five minutes ago.
El ia confirma con sua testa corajinte.,He nodded encouragingly.
Esce tu ia considera otra alternativas?,Did you consider other alternatives?
Me vole sabe esce tu ia comprende vera.,I wonder whether you really understood.
Me no ia come ancora la come de matina.,I haven't eaten breakfast yet.
"En Barat, boves fema es animales santa.","In India, cows are sacred animals."
"En India, boves fema es animales santa.","In India, cows are sacred animals."
Aora vos ave cada cosa cual vos nesesa.,You have everything you need now.
El ia permane nonsposida tota sua vive.,She remained single all her life.
Esque tu ia vide ja un gala de pupetas?,Have you ever seen a puppet show?
Me no pote crede ce el ia fa esta a me.,I can't believe that she did that to me.
"En la jardin, on ave multe roja flores.",In the garden there are many red flowers.
Tom crede ce Meri atenta contradise el.,Tom believes Mary is trying to discredit him.
Esce tu vole comparti un orania con me?,Do you want to share an orange with me?
Esce soldi es la dia prima de la semana?,Is Sunday the first day of the week?
Un pesimiste no espera ce algun besa el.,A pessimist doesn't expect to be kissed by anyone.
Esta spesie de papilio es estinguida ja.,This species of butterfly has already gone extinct.
Entre la continentes es la mares grande.,Between continents are oceans.
La om ia mostra a me sua colie de selos.,He showed me his stamp collection.
Alga de mundo crede ce on ave fantasmas.,Some people believe in ghosts.
Esta es per la plu la metodo la plu bon.,This is by far the best method.
Esce esta es un demanda autorespondente?,Is that a rhetorical question?
Me ia ta es plu felis portante un masca.,I would have been happier wearing a mask.
Esce tu veni a Rio per la juas olimpial?,Are you coming to Rio for the Olympics?
Esce tu va veni a Rio per la Olimpiales?,Are you coming to Rio for the Olympics?
Multe paises ia partisipa la Olimpiales.,A lot of countries participated in the Olympic Games.
Nos jua tenis pos la periodo de instrui.,We play tennis after school.
Me ia regarda un max de tenis sur la tv.,I watched a tennis match on TV.
Contra sua fali el senti ce el es felis.,He feels happy in spite of his failure.
Me va fa ce el redona acel cual ia fura!,I will make him return what he has stolen.
La invia es un de la sete pecas matante.,Envy is one of the seven deadly sins.
A fini Tom ia declara ce el es culpable.,Tom eventually pleaded guilty.
Asi on misca cafe brasilera e colombian.,They blend Brazilian and Colombian coffee here.
Esce tu ia proba a cualce ves agopuntur?,Have you ever tried acupuncture?
Los brosi sua dentes a du veses per dia.,They brush their teeth twice a day.
La portes de la asendador ia abri lenta.,The elevator doors opened slowly.
Ci sabe cuando la aniversario de Tom es?,Who knows when Tom's birthday is?
Tom ia pone poca troncos plu en la foco.,Tom put a few more logs on the fire.
Rusia es la pais propre de la elefantes.,Russia is the homeland of the elephants.
Estas es sinco persones en nosa familia.,There are five people in our family.
Me ia sonia a note ier ce me come abeas.,Last night I dreamt I was eating bees.
Antisemitisme es la sosialisme de foles.,Antisemitism is the socialism of fools.
No trata jovenes como si los es stupida.,Don't treat young people like they're stupid.
Esce vos vole comparti un orania con me?,Would you like to share an orange with me?
Tom ia demanda a me esce me ave un scema.,Tom asked me if I had a plan.
Esperanto es un lingua per tota la mundo.,Esperanto is a language for the whole world.
Me ia fura la portasene de la restorante.,I've stolen the ashtray from the restaurant.
Nos no ia sabe tota la nara a acel tempo.,We didn't know the whole story at that time.
No sede. Tu pote perde oji e gania doman.,Don't give up. You may lose today and win tomorrow.
Esta parola sinifia alga cosas diferente.,This word means several different things.
Du omes portante mascas ia fura la banco.,Two men wearing masks robbed the bank.
Me ia pensa ce Tom va vade a casa con tu.,I thought Tom was coming home with you.
La Olimpiales comensa oji. Cual tu senti?,The Olympics are starting today. What are you feeling?
La teleta de bebe nesesa ce on cambia lo.,The baby needs a diaper change.
La nivel de la rio ia asende pico e pico.,The level of the river rose little by little.
Felisia es un flor cual on no debe colie.,Happiness is a flower that must not be picked.
La madre de Tom es un catolica relijiosa.,Tom's mother is a devout Catholic.
La soldatos ia es esposada a foco enemin.,The soldiers were exposed to the enemy's fire.
A fini nos va encontra la un la otra oji.,We will eventually meet today.
No plu ca 529 oservores ia oserva la max.,A mere 529 spectators watched the game.
La viajores ia traversa la rio en naveta.,The travelers ferried across the river.
La fem ferida ia es un turiste brasilera.,The wounded woman was a Brazilian tourist.
De do nos veni? Ci nos es? A do nos vade?,Where do we come from? Who are we? Where are we going?
Los ia predise un futur briliante per el.,A bright future was predicted for him.
Tom sabe serta ce Maria es en la ospital.,Tom certainly is aware that Mary is in the hospital.
La lingua magiar es plu bon ca esperanto.,The Hungarian language is better than Esperanto.
Ta ce me serti ce tua gama no es rompeda.,Let me make sure your leg isn't broken.
Stephen Miller es un nasionaliste blanca.,Stephen Miller is a white nationalist.
Perce tu ia pensa ce Tom gusta roc metal?,Why did you think Tom liked heavy metal?
La construor de acel casas es nonconoseda.,The builder of those houses is unknown.
El vade a Rusia con sua madre a cada anio.,He goes with his mother to Russia every year.
Me opina ce esperanto es multe importante.,"In my opinion, Esperanto is very important."
Un colibri no es plu grande ca un papilio.,A hummingbird is no larger than a butterfly.
Acua de cloaca contamina frecuente la mar.,Sewage often pollutes the ocean.
La fem parla con un pronunsia forte deutx.,She talks with a heavy German accent.
Alga de mundo ia duta la onestia de la om.,Some people questioned his honesty.
Alga de mundo pensa ce Tom ia es venenida.,Some people think Tom was poisoned.
Alga cosas variosa aveni a la mesma tempo.,Several things are happening at the same time.
On debe fa sempre la plu bon cual on pote.,One should always do one's best.
Cuanto tempo un person pote vive sin acua?,How long can a person live without water?
Cuales es la orijines de la juas olimpial?,What are the origins of the Olympics?
